"","X","Дата","Область","Округ","Населённый_пункт","Тип","Район","Улица","Дом","lonlat","yandex_adress"
"16",179,"26.03.2020","Москoвская Область","Химки","Химки","город",NA,NA,"Куркинское шоссе","37.425009   55.882762","Россия, Московская область, Химки, Куркинское шоссе"
"17",180,"26.03.2020","Москoвская Область","Щёлково","Щёлково","город",NA,"улица Беляева","30","38.073306   55.887629","Россия, Московская область, Щёлково, улица Беляева, 30"
"18",236,"27.03.2020","Москoвская Область","Одинцовский городской округ","рабочий посёлок Новоивановское","посёлок",NA,"Овражная улица","47А","37.38039   55.713491","Россия, Московская область, Одинцовский городской округ, рабочий посёлок Новоивановское, Овражная улица, 47А"
"19",237,"27.03.2020","Москoвская Область","Кашира","Кашира","город",NA,NA,"улица Вахрушева","38.246546   54.837773","Россия, Московская область, Кашира, улица Вахрушева"
"20",238,"27.03.2020","Москoвская Область","Реутов","Реутов","город",NA,"Носовихинское шоссе","27","37.87688   55.749557","Россия, Московская область, Реутов, Носовихинское шоссе, 27"
"21",239,"27.03.2020","Москoвская Область","Химки","Химки","город",NA,"Набережный проезд","1","37.443155   55.960251","Россия, Московская область, Химки, квартал Клязьма, Набережный проезд, 1"
"22",240,"27.03.2020","Москoвская Область","Дмитровский городской округ","территория Объединение Подосинки","посёлок",NA,"Широкая улица","72А","37.571543   56.199211","Россия, Московская область, Дмитровский городской округ, территория Объединение Подосинки, Широкая улица, 72А"
"23",241,"27.03.2020","Москoвская Область","Одинцовский городской округ","деревня Жуковка","деревня",NA,NA,NA,"37.25318   55.737963","Россия, Московская область, Одинцовский городской округ, деревня Жуковка"
"24",242,"27.03.2020","Москoвская Область","Одинцовский городской округ","посёлок ВНИИССОК","посёлок",NA,"улица Михаила Кутузова","15","37.219529   55.660028","Россия, Московская область, Одинцовский городской округ, посёлок ВНИИССОК, улица Михаила Кутузова, 15"
"25",243,"27.03.2020","Москoвская Область","Одинцовский городской округ","посёлок Барвиха","посёлок",NA,NA,"20","37.27429   55.721645","Россия, Московская область, Одинцовский городской округ, посёлок Барвиха, 20"
"26",244,"27.03.2020","Москoвская Область","Одинцовский городской округ","посёлок Заречье","посёлок",NA,NA,"4","37.050744   55.720028","Россия, Московская область, Одинцовский городской округ, посёлок Заречье, 4"
"27",307,"28.03.2020","Москoвская Область","городской округ Балашиха","деревня Русавкино-Романово","деревня",NA,NA,"8","38.040607   55.701567","Россия, Московская область, городской округ Балашиха, деревня Русавкино-Романово, 8"
"28",308,"28.03.2020","Москoвская Область","Одинцовский городской округ","деревня Жуковка","деревня",NA,NA,NA,"37.25318   55.737963","Россия, Московская область, Одинцовский городской округ, деревня Жуковка"
"29",309,"28.03.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,"Старое Дмитровское шоссе","1","37.530139   55.969129","Россия, Московская область, Долгопрудный, Старое Дмитровское шоссе, 1"
"30",310,"28.03.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"Советская улица","20","37.93678   55.803413","Россия, Московская область, Балашиха, Советская улица, 20"
"31",311,"28.03.2020","Москoвская Область","Фрязино","Фрязино","город",NA,"Центральная улица","8","38.046572   55.953593","Россия, Московская область, Фрязино, Центральная улица, 8"
"32",313,"28.03.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"3-я Парковая улица","1","37.755131   55.888255","Россия, Московская область, Мытищи, 3-я Парковая улица, 1"
"33",314,"28.03.2020","Москoвская Область",NA,"Раменское","город",NA,"улица Космонавтов","26","38.204594   55.588059","Россия, Московская область, Раменское, улица Космонавтов, 26"
"34",315,"28.03.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,NA,"Новоугличское шоссе","38.131175   56.332327","Россия, Московская область, Сергиев Посад, Новоугличское шоссе"
"35",416,"29.03.2020","Москoвская Область","Реутов","Реутов","город",NA,"Носовихинское шоссе","23","37.875344   55.748331","Россия, Московская область, Реутов, Носовихинское шоссе, 23"
"36",417,"29.03.2020","Москoвская Область","Одинцовский городской округ","село Перхушково","село",NA,NA,NA,"37.142238   55.654284","Россия, Московская область, Одинцовский городской округ, село Перхушково"
"37",418,"29.03.2020","Москoвская Область",NA,"Пушкино","город",NA,"улица Островского","20","37.834569   56.014987","Россия, Московская область, Пушкино, улица Островского, 20"
"38",419,"29.03.2020","Москoвская Область","Одинцовский городской округ","посёлок Николина Гора","посёлок",NA,NA,NA,"37.039192   55.733756","Россия, Московская область, Одинцовский городской округ, посёлок Николина Гора"
"39",420,"29.03.2020","Москoвская Область","Красногорск","Красногорск","город","микрорайон Опалиха","улица Дежнёва","12","37.240271   55.835018","Россия, Московская область, Красногорск, микрорайон Опалиха, улица Дежнёва, 12"
"40",421,"29.03.2020","Москoвская Область","Одинцово","Одинцово","город","микрорайон Новая Трёхгорка","Кутузовская улица","35","37.324784   55.707436","Россия, Московская область, Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 35"
"41",422,"29.03.2020","Москoвская Область",NA,"Пушкино","город",NA,"улица Островского","20","37.834569   56.014987","Россия, Московская область, Пушкино, улица Островского, 20"
"42",423,"29.03.2020","Москoвская Область","городской округ Солнечногорск","деревня Пешки","деревня",NA,NA,"309","37.068504   56.127618","Россия, Московская область, городской округ Солнечногорск, деревня Пешки, 309"
"43",616,"30.03.2020","Москoвская Область","Химки","Химки","город",NA,"улица Пожарского","6","37.476178   55.891643","Россия, Московская область, Химки, улица Пожарского, 6"
"44",617,"30.03.2020","Москoвская Область","Химки","Химки","город",NA,"улица Лавочкина","24","37.414903   55.889841","Россия, Московская область, Химки, улица Лавочкина, 24"
"45",618,"30.03.2020","Москoвская Область","Реутов","Реутов","город",NA,NA,"улица Дзержинского","37.854907   55.751974","Россия, Московская область, Реутов, улица Дзержинского"
"46",619,"30.03.2020","Москoвская Область","Королёв","Королёв","город",NA,"улица Болдырева","12","37.827113   55.920931","Россия, Московская область, Королёв, улица Болдырева, 12"
"47",620,"30.03.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"шоссе Энтузиастов","7/1","37.932162   55.794836","Россия, Московская область, Балашиха, шоссе Энтузиастов, 7/1"
"48",621,"30.03.2020","Москoвская Область","городской округ Мытищи","деревня Витенево","деревня",NA,NA,"106","37.687542   56.049782","Россия, Московская область, городской округ Мытищи, деревня Витенево, 106"
"49",622,"30.03.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Мира","30","37.724966   55.918666","Россия, Московская область, Мытищи, улица Мира, 30"
"50",623,"30.03.2020","Москoвская Область","Ленинский городской округ","деревня Слобода","деревня",NA,NA,"10","37.816549   55.602032","Россия, Московская область, Ленинский городской округ, деревня Слобода, 10"
"51",625,"30.03.2020","Москoвская Область","Лобня","Лобня","город",NA,"улица Тургенева","20","37.464014   56.003527","Россия, Московская область, Лобня, улица Тургенева, 20"
"52",626,"30.03.2020","Москoвская Область","городской округ Солнечногорск","деревня Брёхово","деревня",NA,NA,NA,"37.188789   55.932102","Россия, Московская область, городской округ Солнечногорск, деревня Брёхово"
"53",628,"30.03.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Побратимов","22","37.895745   55.68902","Россия, Московская область, Люберцы, улица Побратимов, 22"
"54",629,"30.03.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Саввино","улица 1 Мая","18","38.031148   55.730811","Россия, Московская область, Балашиха, микрорайон Саввино, улица 1 Мая, 18"
"55",630,"30.03.2020","Москoвская Область","Реутов","Реутов","город",NA,"улица имени Головашкина","10","37.853263   55.771747","Россия, Московская область, Реутов, улица имени Головашкина, 10"
"56",631,"30.03.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Барыкина","2","37.956049   55.706761","Россия, Московская область, Люберцы, улица Барыкина, 2"
"57",632,"30.03.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"Красноармейская улица","21","37.88192   55.673666","Россия, Московская область, Люберцы, Красноармейская улица, 21"
"58",633,"30.03.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Камова","8к1","37.958294   55.69798","Россия, Московская область, Люберцы, улица Камова, 8к1"
"59",634,"30.03.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Керамик","улица Свободы","5","37.969847   55.74748","Россия, Московская область, Балашиха, микрорайон Керамик, улица Свободы, 5"
"60",635,"30.03.2020","Москoвская Область","городской округ Истра","посёлок Красный","посёлок",NA,NA,NA,"36.718655   55.934482","Россия, Московская область, городской округ Истра, посёлок Красный"
"61",636,"30.03.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,NA,"Институтский переулок","37.519566   55.931048","Россия, Московская область, Долгопрудный, Институтский переулок"
"62",637,"30.03.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Семашко","4к3","37.730185   55.898558","Россия, Московская область, Мытищи, улица Семашко, 4к3"
"63",638,"30.03.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Борисовка","28А","37.715246   55.919478","Россия, Московская область, Мытищи, улица Борисовка, 28А"
"64",639,"30.03.2020","Москoвская Область",NA,"Одинцовский городской округ","город",NA,NA,NA,"36.900798   55.641737","Россия, Московская область, Одинцовский городской округ"
"65",640,"30.03.2020","Москoвская Область","городской округ Солнечногорск","деревня Шишовка","деревня",NA,"Садовая улица","33","37.104634   56.069042","Россия, Московская область, городской округ Солнечногорск, деревня Шишовка, Садовая улица, 33"
"66",736,"01.04.2020","Москoвская Область","Химки","Химки","город",NA,"Кольцевая улица","14","37.447647   55.883444","Россия, Московская область, Химки, Кольцевая улица, 14"
"67",737,"01.04.2020","Москoвская Область","Лобня","Лобня","город",NA,"улица Жирохова","2","37.472126   56.024239","Россия, Московская область, Лобня, улица Жирохова, 2"
"68",738,"01.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Лавочкина","18","37.418057   55.890275","Россия, Московская область, Химки, улица Лавочкина, 18"
"69",739,"01.04.2020","Москoвская Область","Одинцовский городской округ","посёлок дома отдыха Озёра","посёлок",NA,"Озёрная улица","63","37.245912   55.65658","Россия, Московская область, Одинцовский городской округ, посёлок дома отдыха Озёра, коттеджный посёлок Довиль, Озёрная улица, 63"
"70",740,"01.04.2020","Москoвская Область","Раменский городской округ","посёлок Рылеево","посёлок",NA,NA,"23","38.090634   55.334972","Россия, Московская область, Раменский городской округ, посёлок Рылеево, 23"
"71",741,"01.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Силикатная улица","49к5","37.775523   55.944152","Россия, Московская область, Мытищи, Силикатная улица, 49к5"
"72",742,"01.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Октябрьский проспект","10А","37.736024   55.900854","Россия, Московская область, Мытищи, Октябрьский проспект, 10А"
"73",744,"01.04.2020","Москoвская Область","Богородский городской округ","Ногинск","город",NA,"Краснослободская улица","2Б","38.466247   55.878576","Россия, Московская область, Богородский городской округ, Ногинск, Краснослободская улица, 2Б"
"74",869,"02.04.2020","Москoвская Область","Домодедово","Домодедово","город",NA,"Кутузовский проезд","13","37.764321   55.435968","Россия, Московская область, Домодедово, Кутузовский проезд, 13"
"75",870,"02.04.2020","Москoвская Область","Дубна","Дубна","город",NA,"улица Мичурина","3","37.205111   56.748721","Россия, Московская область, Дубна, улица Мичурина, 3"
"76",871,"02.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Железнодорожный","Пионерская улица","3","38.023108   55.744318","Россия, Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 3"
"77",872,"02.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Гагарина","28/1","37.917565   55.692338","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 28/1"
"78",873,"02.04.2020","Москoвская Область","Одинцовский городской округ","коттеджный посёлок Таганьково-5","посёлок",NA,NA,"30","37.081179   55.679646","Россия, Московская область, Одинцовский городской округ, коттеджный посёлок Таганьково-5, 30"
"79",874,"02.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Трудовая улица","4","37.720798   55.888266","Россия, Московская область, Мытищи, Трудовая улица, 4"
"80",875,"02.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Урицкого","25","37.894173   55.699436","Россия, Московская область, Люберцы, улица Урицкого, 25"
"81",876,"02.04.2020","Москoвская Область","Руза","Руза","город",NA,"Лесная улица","2А","36.171725   55.710849","Россия, Московская область, Руза, Лесная улица, 2А"
"82",877,"02.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Железнодорожный","Пионерская улица","14","38.025354   55.741723","Россия, Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 14"
"83",974,"03.04.2020","Москoвская Область","Котельники","Котельники","город",NA,"2-й Покровский проезд","14к2","37.856812   55.663537","Россия, Московская область, Котельники, 2-й Покровский проезд, 14к2"
"84",975,"03.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Митрофанова","22к2","37.891271   55.694784","Россия, Московская область, Люберцы, улица Митрофанова, 22к2"
"85",976,"03.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Городок Б","улица 3-е Почтовое Отделение","82","37.863163   55.683818","Россия, Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 82"
"86",977,"03.04.2020","Москoвская Область","Котельники","Котельники","город",NA,"Кузьминская улица","15","37.861959   55.667102","Россия, Московская область, Котельники, Кузьминская улица, 15"
"87",978,"03.04.2020","Москoвская Область",NA,"Дзержинский","город",NA,"улица Ленина","30","37.849329   55.628007","Россия, Московская область, Дзержинский, улица Ленина, 30"
"88",979,"03.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"Вертолётная улица","20","37.965634   55.704184","Россия, Московская область, Люберцы, Вертолётная улица, 20"
"89",980,"03.04.2020","Москoвская Область","Котельники","Котельники","город","микрорайон Ковровый",NA,"24А","37.862651   55.660643","Россия, Московская область, Котельники, микрорайон Ковровый, 24А"
"90",981,"03.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"Железнодорожный проезд","4","37.330749   55.815671","Россия, Московская область, Красногорск, Железнодорожный проезд, 4"
"91",982,"03.04.2020","Москoвская Область","Ленинский городской округ","рабочий посёлок Дрожжино","посёлок",NA,NA,"территория Бутово Парк 2","37.588611   55.523402","Россия, Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, территория Бутово Парк 2"
"92",983,"03.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Юннатов","3","37.461697   55.898593","Россия, Московская область, Химки, улица Юннатов, 3"
"93",984,"03.04.2020","Москoвская Область","Коломенский городской округ","посёлок Пески","посёлок",NA,"Аптечная улица","9","38.768153   55.215611","Россия, Московская область, Коломенский городской округ, посёлок Пески, Аптечная улица, 9"
"94",985,"03.04.2020","Москoвская Область","городской округ Истра","Дедовск","город",NA,"Больничная улица","5","37.123822   55.858882","Россия, Московская область, городской округ Истра, Дедовск, Больничная улица, 5"
"95",986,"03.04.2020","Москoвская Область","Ленинский городской округ","Видное","город",NA,"Берёзовая улица","5","37.720968   55.543134","Россия, Московская область, Ленинский городской округ, Видное, Берёзовая улица, 5"
"96",987,"03.04.2020","Москoвская Область","Подольск","Подольск","город","микрорайон Кузнечики","улица Академика Доллежаля","19","37.482358   55.42029","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 19"
"97",988,"03.04.2020","Москoвская Область","городской округ Подольск","посёлок Быково","посёлок",NA,"Московская улица","8","37.610574   55.470586","Россия, Московская область, городской округ Подольск, посёлок Быково, Московская улица, 8"
"98",989,"03.04.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"улица Фадеева","19","37.978956   55.796036","Россия, Московская область, Балашиха, улица Фадеева, 19"
"99",990,"03.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Северный",NA,"44","38.00931   55.79226","Россия, Московская область, Балашиха, микрорайон Северный, 44"
"100",991,"03.04.2020","Москoвская Область","Орехово-Зуевский городской округ","Куровское","город",NA,"Совхозная улица","16","38.935706   55.581907","Россия, Московская область, Орехово-Зуевский городской округ, Куровское, Совхозная улица, 16"
"101",992,"03.04.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,"Новый бульвар","9","37.503693   55.937462","Россия, Московская область, Долгопрудный, Новый бульвар, 9"
"102",993,"03.04.2020","Москoвская Область","городской округ Люберцы","дачный посёлок Красково","посёлок",NA,"Пролетарский проезд","43","37.990319   55.658464","Россия, Московская область, городской округ Люберцы, дачный посёлок Красково, Пролетарский проезд, 43"
"103",994,"03.04.2020","Москoвская Область","Химки","Химки","город",NA,NA,"СНТ Родник","37.450279   55.952248","Россия, Московская область, Химки, СНТ Родник"
"104",1094,"04.04.2020","Москoвская Область","Дмитровский городской округ","Дмитров","город","микрорайон имени К.А. Аверьянова",NA,"19","37.529484   56.349814","Россия, Московская область, Дмитровский городской округ, Дмитров, микрорайон имени К.А. Аверьянова, 19"
"105",1095,"04.04.2020","Москoвская Область","Талдомский городской округ","деревня Юркино","деревня",NA,NA,"12","37.596992   56.726968","Россия, Московская область, Талдомский городской округ, деревня Юркино, 12"
"106",1097,"04.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица Вилора Трифонова","1","37.284621   55.83432","Россия, Московская область, Красногорск, улица Вилора Трифонова, 1"
"107",1098,"04.04.2020","Москoвская Область","Подольск","Подольск","город",NA,"Профсоюзная улица","4Б","37.552894   55.464616","Россия, Московская область, Подольск, Профсоюзная улица, 4Б"
"108",1099,"04.04.2020","Москoвская Область","Воскресенск","Воскресенск","город","микрорайон Центральный","улица Островского","8","38.652441   55.32497","Россия, Московская область, Воскресенск, микрорайон Центральный, улица Островского, 8"
"109",1100,"04.04.2020","Москoвская Область","Пушкинский городской округ","рабочий посёлок Софрино","посёлок",NA,"Садовая улица","19","37.917843   56.129574","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Софрино, Садовая улица, 19"
"110",1101,"04.04.2020","Москoвская Область","Пушкинский городской округ","рабочий посёлок Софрино","посёлок",NA,"улица Тютчева","42","37.939717   56.131395","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Софрино, улица Тютчева, 42"
"111",1102,"04.04.2020","Москoвская Область","Пушкинский городской округ","коттеджный посёлок Комильфо","посёлок",NA,NA,"90","37.988469   56.106273","Россия, Московская область, Пушкинский городской округ, коттеджный посёлок Комильфо, 90"
"112",1103,"04.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"Лесная улица","17","37.322377   55.835988","Россия, Московская область, Красногорск, Лесная улица, 17"
"113",1104,"04.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица Народного Ополчения","17","37.309576   55.830806","Россия, Московская область, Красногорск, улица Народного Ополчения, 17"
"114",1105,"04.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица 50 лет Октября","7А","37.310995   55.820405","Россия, Московская область, Красногорск, улица 50 лет Октября, 7А"
"115",1107,"04.04.2020","Москoвская Область","Пушкинский городской округ","рабочий посёлок Правдинский","посёлок",NA,"Степаньковское шоссе","10","37.853551   56.065032","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Правдинский, Степаньковское шоссе, 10"
"116",1108,"04.04.2020","Москoвская Область","Пушкинский городской округ","городок Софрино-1","город",NA,NA,"4","37.833662   56.15808","Россия, Московская область, Пушкинский городской округ, городок Софрино-1, 4"
"117",1392,"05.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Кудрявцева","4","37.45787   55.898119","Россия, Московская область, Химки, улица Кудрявцева, 4"
"118",1393,"05.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Германа Титова","14к1","37.416952   55.916315","Россия, Московская область, Химки, улица Германа Титова, 14к1"
"119",1394,"05.04.2020","Москoвская Область","Химки","Химки","город",NA,"Зелёная улица","9","37.478603   55.889073","Россия, Московская область, Химки, Зелёная улица, 9"
"120",1395,"05.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица 9 Мая","10","37.413915   55.901707","Россия, Московская область, Химки, улица 9 Мая, 10"
"121",1396,"05.04.2020","Москoвская Область","Ленинский городской округ","деревня Мисайлово","деревня",NA,"Литературный бульвар","2","37.813881   55.557195","Россия, Московская область, Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 2"
"122",1397,"05.04.2020","Москoвская Область","Реутов","Реутов","город",NA,"Лесная улица","11","37.847891   55.760469","Россия, Московская область, Реутов, Лесная улица, 11"
"123",1398,"05.04.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"улица Дмитриева","20","37.929162   55.834952","Россия, Московская область, Балашиха, улица Дмитриева, 20"
"124",1399,"05.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон 1 Мая",NA,"31","37.847173   55.804966","Россия, Московская область, Балашиха, микрорайон 1 Мая, 31"
"125",1400,"05.04.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"проспект Ленина","16","37.941765   55.79685","Россия, Московская область, Балашиха, проспект Ленина, 16"
"126",1401,"05.04.2020","Москoвская Область","Ивантеевка","Ивантеевка","город",NA,"Трудовая улица","12А","37.935244   55.968514","Россия, Московская область, Ивантеевка, Трудовая улица, 12А"
"127",1402,"05.04.2020","Москoвская Область","Ивантеевка","Ивантеевка","город",NA,"Фабричный проезд","8","37.916909   55.976272","Россия, Московская область, Ивантеевка, Фабричный проезд, 8"
"128",1403,"05.04.2020","Москoвская Область","Подольск","Подольск","город","микрорайон Климовск","Почтовый переулок","8","37.522899   55.357255","Россия, Московская область, Подольск, микрорайон Климовск, Почтовый переулок, 8"
"129",1404,"05.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Юбилейная улица","6","37.718435   55.914211","Россия, Московская область, Мытищи, Юбилейная улица, 6"
"130",1405,"05.04.2020","Москoвская Область","Одинцовский городской округ","посёлок ВНИИССОК","посёлок",NA,"Берёзовая улица","4","37.203575   55.65881","Россия, Московская область, Одинцовский городской округ, посёлок ВНИИССОК, Берёзовая улица, 4"
"131",1406,"05.04.2020","Москoвская Область","Одинцово","Одинцово","город",NA,"Можайское шоссе","97","37.28675   55.680636","Россия, Московская область, Одинцово, Можайское шоссе, 97"
"132",1407,"05.04.2020","Москoвская Область","Королёв","Королёв","город",NA,"улица Циолковского","10","37.817088   55.920704","Россия, Московская область, Королёв, улица Циолковского, 10"
"133",1408,"05.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"улица Мира","3А","38.184086   56.301264","Россия, Московская область, Сергиев Посад, улица Мира, 3А"
"134",1409,"05.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Борисовка","20А","37.713432   55.91688","Россия, Московская область, Мытищи, улица Борисовка, 20А"
"135",1410,"05.04.2020","Москoвская Область","Ивантеевка","Ивантеевка","город",NA,"улица Толмачёва","4А","37.913477   55.9653","Россия, Московская область, Ивантеевка, улица Толмачёва, 4А"
"136",1411,"05.04.2020","Москoвская Область","Сергиево-Посадский городской округ","посёлок Мостовик","посёлок",NA,NA,NA,"37.92936   56.306458","Россия, Московская область, Сергиево-Посадский городской округ, посёлок Мостовик"
"137",1412,"05.04.2020","Москoвская Область","Лобня","Лобня","город",NA,"улица Калинина","8","37.488466   56.003714","Россия, Московская область, Лобня, улица Калинина, 8"
"138",1413,"05.04.2020","Москoвская Область","Электросталь","Электросталь","город",NA,"улица Карла Маркса","43/1","38.461881   55.802857","Россия, Московская область, Электросталь, улица Карла Маркса, 43/1"
"139",1414,"05.04.2020","Москoвская Область","Домодедово","Домодедово","город","микрорайон Западный","Лунная улица","23","37.758895   55.420812","Россия, Московская область, Домодедово, микрорайон Западный, Лунная улица, 23"
"140",1415,"05.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Октябрьский","посёлок",NA,"улица 60 лет Победы","10А","37.965149   55.606751","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица 60 лет Победы, 10А"
