"","город","Улица","Дом","Дата","lonlat","yandex_adress","ya_street"
"243","Москoвская Область","Одинцовский район, пос. Барвиха","20","27.03.2020","37.27429   55.721645","Россия, Московская область, Одинцовский городской округ, посёлок Барвиха, 20","Одинцовский городской округ, посёлок Барвиха, 20"
"244","Москoвская Область","Одинцовский район, пос. Заречье","4","27.03.2020","37.050744   55.720028","Россия, Московская область, Одинцовский городской округ, посёлок Заречье, 4","Одинцовский городской округ, посёлок Заречье, 4"
"307","Москoвская Область","Энергетическая","8","28.03.2020","38.040607   55.701567","Россия, Московская область, городской округ Балашиха, деревня Русавкино-Романово, 8","городской округ Балашиха, деревня Русавкино-Романово, 8"
"308","Москoвская Область","Одинцовский округ, д. Жуковка","","28.03.2020","37.25318   55.737963","Россия, Московская область, Одинцовский городской округ, деревня Жуковка","Одинцовский городской округ, деревня Жуковка"
"309","Москoвская Область","Долгопрудный, Старое Дмитровское ш.","1","28.03.2020","37.530139   55.969129","Россия, Московская область, Долгопрудный, Старое Дмитровское шоссе, 1","Долгопрудный, Старое Дмитровское шоссе, 1"
"310","Москoвская Область","Балашиха, Советская","20","28.03.2020","37.93678   55.803413","Россия, Московская область, Балашиха, Советская улица, 20","Балашиха, Советская улица, 20"
"311","Москoвская Область","Фрязино, Центральная","8","28.03.2020","38.046572   55.953593","Россия, Московская область, Фрязино, Центральная улица, 8","Фрязино, Центральная улица, 8"
"313","Москoвская Область","Мытищи, 3-я Парковая","1","28.03.2020","37.755131   55.888255","Россия, Московская область, Мытищи, 3-я Парковая улица, 1","Мытищи, 3-я Парковая улица, 1"
"314","Москoвская Область","Раменское, Космонавтов","26","28.03.2020","38.204594   55.588059","Россия, Московская область, Раменское, улица Космонавтов, 26","Раменское, улица Космонавтов, 26"
"315","Москoвская Область","Сергиев Посад, Новоугличское ш.","","28.03.2020","38.131175   56.332327","Россия, Московская область, Сергиев Посад, Новоугличское шоссе","Сергиев Посад, Новоугличское шоссе"
"416","Москoвская Область","Реутов, Носовихинское ш.","23","29.03.2020","37.875344   55.748331","Россия, Московская область, Реутов, Носовихинское шоссе, 23","Реутов, Носовихинское шоссе, 23"
"417","Москoвская Область","Одинцовский район, с. Перхушково","","29.03.2020","37.142238   55.654284","Россия, Московская область, Одинцовский городской округ, село Перхушково","Одинцовский городской округ, село Перхушково"
"418","Москoвская Область","Пушкино, Островского","20","29.03.2020","37.834569   56.014987","Россия, Московская область, Пушкино, улица Островского, 20","Пушкино, улица Островского, 20"
"419","Москoвская Область","Одинцовский округ, пос. Николина гора","","29.03.2020","37.039192   55.733756","Россия, Московская область, Одинцовский городской округ, посёлок Николина Гора","Одинцовский городской округ, посёлок Николина Гора"
"420","Москoвская Область","Красногорск, Дежнёва","12","29.03.2020","37.240271   55.835018","Россия, Московская область, Красногорск, микрорайон Опалиха, улица Дежнёва, 12","Красногорск, микрорайон Опалиха, улица Дежнёва, 12"
"421","Москoвская Область","Одинцово, Кутузовская","35","29.03.2020","37.324784   55.707436","Россия, Московская область, Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 35","Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 35"
"422","Москoвская Область","Пушкино, Островского","20","29.03.2020","37.834569   56.014987","Россия, Московская область, Пушкино, улица Островского, 20","Пушкино, улица Островского, 20"
"423","Москoвская Область","Солнечногорский район, д. Пешки","309","29.03.2020","37.068504   56.127618","Россия, Московская область, городской округ Солнечногорск, деревня Пешки, 309","городской округ Солнечногорск, деревня Пешки, 309"
"616","Москoвская Область","Химки, ул. Пожарского","6","30.03.2020","37.476178   55.891643","Россия, Московская область, Химки, улица Пожарского, 6","Химки, улица Пожарского, 6"
"617","Москoвская Область","Химки, ул. Лавочкина","24","30.03.2020","37.414903   55.889841","Россия, Московская область, Химки, улица Лавочкина, 24","Химки, улица Лавочкина, 24"
"618","Москoвская Область","Реутов, ул. Дзержинского","","30.03.2020","37.854907   55.751974","Россия, Московская область, Реутов, улица Дзержинского","Реутов, улица Дзержинского"
"619","Москoвская Область","Королёв, ул. Болдырева","12","30.03.2020","37.827113   55.920931","Россия, Московская область, Королёв, улица Болдырева, 12","Королёв, улица Болдырева, 12"
"620","Москoвская Область","Балашиха, ш. Энтузиастов","7/1","30.03.2020","37.932162   55.794836","Россия, Московская область, Балашиха, шоссе Энтузиастов, 7/1","Балашиха, шоссе Энтузиастов, 7/1"
"621","Москoвская Область","г.о. Мытищи, д. Витенёво","112","30.03.2020","37.687542   56.049782","Россия, Московская область, городской округ Мытищи, деревня Витенево, 106","городской округ Мытищи, деревня Витенево, 106"
"622","Москoвская Область","Мытищи, ул. Мира","30","30.03.2020","37.724966   55.918666","Россия, Московская область, Мытищи, улица Мира, 30","Мытищи, улица Мира, 30"
"623","Москoвская Область","Ленинский район, д. Слобода","10","30.03.2020","37.816549   55.602032","Россия, Московская область, Ленинский городской округ, деревня Слобода, 10","Ленинский городской округ, деревня Слобода, 10"
"625","Москoвская Область","Лобня, ул. Тургенева","20","30.03.2020","37.464014   56.003527","Россия, Московская область, Лобня, улица Тургенева, 20","Лобня, улица Тургенева, 20"
"626","Москoвская Область","Солнечногорский район, д. Брёхово","","30.03.2020","37.188789   55.932102","Россия, Московская область, городской округ Солнечногорск, деревня Брёхово","городской округ Солнечногорск, деревня Брёхово"
"628","Москoвская Область","Люберцы, ул. Побратимова","22","30.03.2020","37.895745   55.68902","Россия, Московская область, Люберцы, улица Побратимов, 22","Люберцы, улица Побратимов, 22"
"629","Москoвская Область","Балашиха, мкр. Саввино, ул. 1 Мая","18","30.03.2020","38.031148   55.730811","Россия, Московская область, Балашиха, микрорайон Саввино, улица 1 Мая, 18","Балашиха, микрорайон Саввино, улица 1 Мая, 18"
"630","Москoвская Область","Реутов, ул. имени Головашкина","10","30.03.2020","37.853263   55.771747","Россия, Московская область, Реутов, улица имени Головашкина, 10","Реутов, улица имени Головашкина, 10"
"631","Москoвская Область","Люберцы, ул. Барыкина","2","30.03.2020","37.956049   55.706761","Россия, Московская область, Люберцы, улица Барыкина, 2","Люберцы, улица Барыкина, 2"
"632","Москoвская Область","Люберцы, ул. Красноармейская","21","30.03.2020","37.88192   55.673666","Россия, Московская область, Люберцы, Красноармейская улица, 21","Люберцы, Красноармейская улица, 21"
"633","Москoвская Область","Люберцы, ул. Камова","8/1","30.03.2020","37.958294   55.69798","Россия, Московская область, Люберцы, улица Камова, 8к1","Люберцы, улица Камова, 8к1"
"634","Москoвская Область","Балашиха, мкр. Керамик, ул. Свободы","5","30.03.2020","37.969847   55.74748","Россия, Московская область, Балашиха, микрорайон Керамик, улица Свободы, 5","Балашиха, микрорайон Керамик, улица Свободы, 5"
"635","Москoвская Область","Истринский район, пос. Красный","","30.03.2020","36.718655   55.934482","Россия, Московская область, городской округ Истра, посёлок Красный","городской округ Истра, посёлок Красный"
"636","Москoвская Область","Долгопрудный, Институтский пер.","28А","30.03.2020","37.519566   55.931048","Россия, Московская область, Долгопрудный, Институтский переулок","Долгопрудный, Институтский переулок"
"637","Москoвская Область","Мытищи, ул. Семашко","4/3","30.03.2020","37.730185   55.898558","Россия, Московская область, Мытищи, улица Семашко, 4к3","Мытищи, улица Семашко, 4к3"
"638","Москoвская Область","Мытищи, ул. Борисовка","28А","30.03.2020","37.715246   55.919478","Россия, Московская область, Мытищи, улица Борисовка, 28А","Мытищи, улица Борисовка, 28А"
"639","Москoвская Область","Одинцовский округ, Голицыно, Петровское ш.","48","30.03.2020","36.900798   55.641737","Россия, Московская область, Одинцовский городской округ","Одинцовский городской округ"
"640","Москoвская Область","Солнечногорск, д. Шишовка, ул. Садовая","33","30.03.2020","37.104634   56.069042","Россия, Московская область, городской округ Солнечногорск, деревня Шишовка, Садовая улица, 33","городской округ Солнечногорск, деревня Шишовка, Садовая улица, 33"
"736","Москoвская Область","Химки, ул. Кольцевая","14","01.04.2020","37.447647   55.883444","Россия, Московская область, Химки, Кольцевая улица, 14","Химки, Кольцевая улица, 14"
"737","Москoвская Область","Лобня, ул. Жирохова, д. 2","","01.04.2020","37.472126   56.024239","Россия, Московская область, Лобня, улица Жирохова, 2","Лобня, улица Жирохова, 2"
"738","Москoвская Область","Химки, ул. Лавочкина, д. 18","","01.04.2020","37.418057   55.890275","Россия, Московская область, Химки, улица Лавочкина, 18","Химки, улица Лавочкина, 18"
"739","Москoвская Область","Одинцовский округ, п. Довиль, ул. Озёрная","63","01.04.2020","37.245912   55.65658","Россия, Московская область, Одинцовский городской округ, посёлок дома отдыха Озёра, коттеджный посёлок Довиль, Озёрная улица, 63","Одинцовский городской округ, посёлок дома отдыха Озёра, коттеджный посёлок Довиль, Озёрная улица, 63"
"740","Москoвская Область","Раменский район, п. Рылеево","23","01.04.2020","38.090634   55.334972","Россия, Московская область, Раменский городской округ, посёлок Рылеево, 23","Раменский городской округ, посёлок Рылеево, 23"
"741","Москoвская Область","Мытищи, ул. Силикатная","49/5","01.04.2020","37.775523   55.944152","Россия, Московская область, Мытищи, Силикатная улица, 49к5","Мытищи, Силикатная улица, 49к5"
"742","Москoвская Область","Мытищи, Октябрьский пр-т","10А","01.04.2020","37.736024   55.900854","Россия, Московская область, Мытищи, Октябрьский проспект, 10А","Мытищи, Октябрьский проспект, 10А"
"744","Москoвская Область","Ногинск, ул. Краснослободская","2Б","01.04.2020","38.466247   55.878576","Россия, Московская область, Богородский городской округ, Ногинск, Краснослободская улица, 2Б","Богородский городской округ, Ногинск, Краснослободская улица, 2Б"
"869","Москoвская Область","Домодедово, Кутузовский пр-д","13","02.04.2020","37.764321   55.435968","Россия, Московская область, Домодедово, Кутузовский проезд, 13","Домодедово, Кутузовский проезд, 13"
"870","Москoвская Область","Дубна, ул. Мичурина, д. 3","","02.04.2020","37.205111   56.748721","Россия, Московская область, Дубна, улица Мичурина, 3","Дубна, улица Мичурина, 3"
"871","Москoвская Область","Балашиха, мкр. Железнодорожный, ул. Пионерская","3","02.04.2020","38.023108   55.744318","Россия, Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 3","Балашиха, микрорайон Железнодорожный, Пионерская улица, 3"
"872","Москoвская Область","Люберцы, пр-т Гагарина","28/1","02.04.2020","37.917565   55.692338","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 28/1","Люберцы, микрорайон Красная Горка, проспект Гагарина, 28/1"
"873","Москoвская Область","Одинцовский район, КП ""Таганьково-5""","30","02.04.2020","37.081179   55.679646","Россия, Московская область, Одинцовский городской округ, коттеджный посёлок Таганьково-5, 30","Одинцовский городской округ, коттеджный посёлок Таганьково-5, 30"
"874","Москoвская Область","Мытищи, ул. Трудовая","4","02.04.2020","37.720798   55.888266","Россия, Московская область, Мытищи, Трудовая улица, 4","Мытищи, Трудовая улица, 4"
"875","Москoвская Область","Люберцы, ул. Урицкого","25","02.04.2020","37.894173   55.699436","Россия, Московская область, Люберцы, улица Урицкого, 25","Люберцы, улица Урицкого, 25"
"876","Москoвская Область","Руза, ул. Лесная","2А","02.04.2020","36.171725   55.710849","Россия, Московская область, Руза, Лесная улица, 2А","Руза, Лесная улица, 2А"
"877","Москoвская Область","Балашиха, ул. Пионерская","14","02.04.2020","38.025354   55.741723","Россия, Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 14","Балашиха, микрорайон Железнодорожный, Пионерская улица, 14"
"974","Москoвская Область","Котельники, 2-й Покровский пр-д","14/2","03.04.2020","37.856812   55.663537","Россия, Московская область, Котельники, 2-й Покровский проезд, 14к2","Котельники, 2-й Покровский проезд, 14к2"
"975","Москoвская Область","Люберцы, ул. Митрофанова","22/2","03.04.2020","37.891271   55.694784","Россия, Московская область, Люберцы, улица Митрофанова, 22к2","Люберцы, улица Митрофанова, 22к2"
"976","Москoвская Область","Люберцы, ул. 3-е Почтовое отделение","82","03.04.2020","37.863163   55.683818","Россия, Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 82","Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 82"
"977","Москoвская Область","Котельники, ул. Кузьминская","15","03.04.2020","37.861959   55.667102","Россия, Московская область, Котельники, Кузьминская улица, 15","Котельники, Кузьминская улица, 15"
"978","Москoвская Область","Дзержинский, ул. Ленина","30","03.04.2020","37.849329   55.628007","Россия, Московская область, Дзержинский, улица Ленина, 30","Дзержинский, улица Ленина, 30"
"979","Москoвская Область","Люберцы, ул. Вертолётная","20","03.04.2020","37.965634   55.704184","Россия, Московская область, Люберцы, Вертолётная улица, 20","Люберцы, Вертолётная улица, 20"
"980","Москoвская Область","Котельники,  Ковровый комбинат","24А","03.04.2020","37.862651   55.660643","Россия, Московская область, Котельники, микрорайон Ковровый, 24А","Котельники, микрорайон Ковровый, 24А"
"981","Москoвская Область","Красногорск, Железнодорожный бульвар","4","03.04.2020","37.330749   55.815671","Россия, Московская область, Красногорск, Железнодорожный проезд, 4","Красногорск, Железнодорожный проезд, 4"
"982","Москoвская Область","Ленинский р-н, ЖК ""Бутово-парк""","2","03.04.2020","37.588611   55.523402","Россия, Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, территория Бутово Парк 2","Ленинский городской округ, рабочий посёлок Дрожжино, территория Бутово Парк 2"
"983","Москoвская Область","Химки, ул. Юннатов","3","03.04.2020","37.461697   55.898593","Россия, Московская область, Химки, улица Юннатов, 3","Химки, улица Юннатов, 3"
"984","Москoвская Область","Пос. Пески, ул. Аптечная","9","03.04.2020","38.768153   55.215611","Россия, Московская область, Коломенский городской округ, посёлок Пески, Аптечная улица, 9","Коломенский городской округ, посёлок Пески, Аптечная улица, 9"
"985","Москoвская Область","Г.о. Истра, г. Дедовск, ул. Больничная","5","03.04.2020","37.123822   55.858882","Россия, Московская область, городской округ Истра, Дедовск, Больничная улица, 5","городской округ Истра, Дедовск, Больничная улица, 5"
"986","Москoвская Область","Видное, ул. Березовая","5","03.04.2020","37.720968   55.543134","Россия, Московская область, Ленинский городской округ, Видное, Берёзовая улица, 5","Ленинский городской округ, Видное, Берёзовая улица, 5"
"987","Москoвская Область","Подольск, ул. Академика Доллежаля","19","03.04.2020","37.482358   55.42029","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 19","Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 19"
"988","Москoвская Область","Пос. Быково, ул. Московская","8","03.04.2020","37.610574   55.470586","Россия, Московская область, городской округ Подольск, посёлок Быково, Московская улица, 8","городской округ Подольск, посёлок Быково, Московская улица, 8"
"989","Москoвская Область","Балашиха, ул. Фадеева","19","03.04.2020","37.978956   55.796036","Россия, Московская область, Балашиха, улица Фадеева, 19","Балашиха, улица Фадеева, 19"
"990","Москoвская Область","Балашиха, мкр. Северный","44","03.04.2020","38.00931   55.79226","Россия, Московская область, Балашиха, микрорайон Северный, 44","Балашиха, микрорайон Северный, 44"
"991","Москoвская Область","Куровское, ул. Совхозная","16","03.04.2020","38.935706   55.581907","Россия, Московская область, Орехово-Зуевский городской округ, Куровское, Совхозная улица, 16","Орехово-Зуевский городской округ, Куровское, Совхозная улица, 16"
"992","Москoвская Область","Долгопрудный, Новый б-р","9","03.04.2020","37.503693   55.937462","Россия, Московская область, Долгопрудный, Новый бульвар, 9","Долгопрудный, Новый бульвар, 9"
"993","Москoвская Область","Г.о. Люберцы, п. Красково, Пролетарский пр-д","43","03.04.2020","37.990319   55.658464","Россия, Московская область, городской округ Люберцы, дачный посёлок Красково, Пролетарский проезд, 43","городской округ Люберцы, дачный посёлок Красково, Пролетарский проезд, 43"
"994","Москoвская Область","Химки, проф. ""Родник""","","03.04.2020","37.450279   55.952248","Россия, Московская область, Химки, СНТ Родник","Химки, СНТ Родник"
"1094","Москoвская Область","Дмитров, мкр. К.А. Аверьянова","19","04.04.2020","37.529484   56.349814","Россия, Московская область, Дмитровский городской округ, Дмитров, микрорайон имени К.А. Аверьянова, 19","Дмитровский городской округ, Дмитров, микрорайон имени К.А. Аверьянова, 19"
"1095","Москoвская Область","Талдомский район, д. Юркино","12/3","04.04.2020","37.596992   56.726968","Россия, Московская область, Талдомский городской округ, деревня Юркино, 12","Талдомский городской округ, деревня Юркино, 12"
"1097","Москoвская Область","Красногорск, ул. Вилора Трифонова","1","04.04.2020","37.284621   55.83432","Россия, Московская область, Красногорск, улица Вилора Трифонова, 1","Красногорск, улица Вилора Трифонова, 1"
"1098","Москoвская Область","Подольск, ул. Профсоюзная","4Б","04.04.2020","37.552894   55.464616","Россия, Московская область, Подольск, Профсоюзная улица, 4Б","Подольск, Профсоюзная улица, 4Б"
"1099","Москoвская Область","Воскресенск, ул. Островского","8","04.04.2020","38.652441   55.32497","Россия, Московская область, Воскресенск, микрорайон Центральный, улица Островского, 8","Воскресенск, микрорайон Центральный, улица Островского, 8"
"1100","Москoвская Область","Пушкинский р-н, пос. Софрино, ул. Садовая","19","04.04.2020","37.917843   56.129574","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Софрино, Садовая улица, 19","Пушкинский городской округ, рабочий посёлок Софрино, Садовая улица, 19"
"1101","Москoвская Область","Пушкинский р-н, пос. Софрино, ул. Тютчева","42","04.04.2020","37.939717   56.131395","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Софрино, улица Тютчева, 42","Пушкинский городской округ, рабочий посёлок Софрино, улица Тютчева, 42"
"1102","Москoвская Область","Пушкинский р-н, пос. Софрино, КП ""Комильфо""","90","04.04.2020","37.988469   56.106273","Россия, Московская область, Пушкинский городской округ, коттеджный посёлок Комильфо, 90","Пушкинский городской округ, коттеджный посёлок Комильфо, 90"
"1103","Москoвская Область","Красногорск, ул. Лесная","17","04.04.2020","37.322377   55.835988","Россия, Московская область, Красногорск, Лесная улица, 17","Красногорск, Лесная улица, 17"
"1104","Москoвская Область","Красногорск, ул. Народного Ополчения","17А","04.04.2020","37.309576   55.830806","Россия, Московская область, Красногорск, улица Народного Ополчения, 17","Красногорск, улица Народного Ополчения, 17"
"1105","Москoвская Область","Красногорск, ул. 50 лет Октября","7А","04.04.2020","37.310995   55.820405","Россия, Московская область, Красногорск, улица 50 лет Октября, 7А","Красногорск, улица 50 лет Октября, 7А"
"1107","Москoвская Область","Пушкинский р-н, пос. Правдинский, Степаньковское ш.","10","04.04.2020","37.853551   56.065032","Россия, Московская область, Пушкинский городской округ, рабочий посёлок Правдинский, Степаньковское шоссе, 10","Пушкинский городской округ, рабочий посёлок Правдинский, Степаньковское шоссе, 10"
"1108","Москoвская Область","Пушкинский городской округ, Софрино-1","4","04.04.2020","37.833662   56.15808","Россия, Московская область, Пушкинский городской округ, городок Софрино-1, 4","Пушкинский городской округ, городок Софрино-1, 4"
"1392","Москoвская Область","Химки, Кудрявцева","4","05.04.2020","37.45787   55.898119","Россия, Московская область, Химки, улица Кудрявцева, 4","Химки, улица Кудрявцева, 4"
"1393","Москoвская Область","Химки, Германа Титова","14/1","05.04.2020","37.416952   55.916315","Россия, Московская область, Химки, улица Германа Титова, 14к1","Химки, улица Германа Титова, 14к1"
"1394","Москoвская Область","Химки, Зеленая","9","05.04.2020","37.478603   55.889073","Россия, Московская область, Химки, Зелёная улица, 9","Химки, Зелёная улица, 9"
"1395","Москoвская Область","Химки, 9 мая","10","05.04.2020","37.413915   55.901707","Россия, Московская область, Химки, улица 9 Мая, 10","Химки, улица 9 Мая, 10"
"1396","Москoвская Область","д. Мисайлово, Литературный бульвар","2","05.04.2020","37.813881   55.557195","Россия, Московская область, Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 2","Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 2"
"1397","Москoвская Область","Реутов, Лесная","11","05.04.2020","37.847891   55.760469","Россия, Московская область, Реутов, Лесная улица, 11","Реутов, Лесная улица, 11"
"1398","Москoвская Область","г. Балашиха, ул. Дмитриева","20","05.04.2020","37.929162   55.834952","Россия, Московская область, Балашиха, улица Дмитриева, 20","Балашиха, улица Дмитриева, 20"
"1399","Москoвская Область","г. Балашиха, мкр. 1 Мая","31","05.04.2020","37.847173   55.804966","Россия, Московская область, Балашиха, микрорайон 1 Мая, 31","Балашиха, микрорайон 1 Мая, 31"
"1400","Москoвская Область","г. Балашиха, пр-т Ленина","16","05.04.2020","37.941765   55.79685","Россия, Московская область, Балашиха, проспект Ленина, 16","Балашиха, проспект Ленина, 16"
"1401","Москoвская Область","Ивантеевка, Трудовая","12А","05.04.2020","37.935244   55.968514","Россия, Московская область, Ивантеевка, Трудовая улица, 12А","Ивантеевка, Трудовая улица, 12А"
"1402","Москoвская Область","г. Ивантеевка, Фабричный пр.","8","05.04.2020","37.916909   55.976272","Россия, Московская область, Ивантеевка, Фабричный проезд, 8","Ивантеевка, Фабричный проезд, 8"
"1403","Москoвская Область","микрорайон Климовск, Подольск, Почтовый переулок","8","05.04.2020","37.522899   55.357255","Россия, Московская область, Подольск, микрорайон Климовск, Почтовый переулок, 8","Подольск, микрорайон Климовск, Почтовый переулок, 8"
"1404","Москoвская Область","г. Мытищи, ул. Юбилейная","10/1","05.04.2020","37.718435   55.914211","Россия, Московская область, Мытищи, Юбилейная улица, 6","Мытищи, Юбилейная улица, 6"
"1405","Москoвская Область","Одинцовский р-н, ВНИИССОК, ул. Берёзовая","4","05.04.2020","37.203575   55.65881","Россия, Московская область, Одинцовский городской округ, посёлок ВНИИССОК, Берёзовая улица, 4","Одинцовский городской округ, посёлок ВНИИССОК, Берёзовая улица, 4"
